id,name,url,review_count,rating,price,latitude,longitude,category
g84WjFDp6b-79oS8P3jlBg,Minerva Boekhandel,https://www.yelp.com/biz/minerva-boekhandel-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,2,5.0,€€,52.3519367,4.8588134,shopping
C4_X8Ry270WozjZVR53D2A,Dede's Underworld,https://www.yelp.com/biz/dedes-underworld-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,4,5.0,€€€,52.34919,4.87705,shopping
CLj-6zwLe1pqEHw6NXEAig,Boîte La Kids Store,https://www.yelp.com/biz/bo%C3%AEte-la-kids-store-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,3,4.0,€€€,52.350901,4.854798,shopping
paEWQjhh_TssvrHfHn1NXw,Imagine,https://www.yelp.com/biz/imagine-amsterdam-2?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,3,4.0,€€€,52.3519199,4.8566947,shopping
bfvFX3O2IYZrlIY2GCavtw,Gebroeders Winter,https://www.yelp.com/biz/gebroeders-winter-amsterdam-4?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,3,4.0,€€,52.3534264,4.8561241,shopping
5ybjbv65-bElYhvtbDXHTQ,American Vintage,https://www.yelp.com/biz/american-vintage-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,4,4.5,,52.35684,4.87455,shopping
N6TOQAndCJ6mQCBSPJJy3g,Vitaminstore,https://www.yelp.com/biz/vitaminstore-amsterdam-3?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,7,4.0,€€€,52.347641,4.8771667,shopping
Q0HIHVfxmMkMlsgxJJpUiA,Dany Diop,https://www.yelp.com/biz/dany-diop-amsterdam-2?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,3,5.0,€€€,52.3567533,4.8748662,shopping
4yPN4TwjrVSDt7Dcl5oCqQ,Sound Plaza,https://www.yelp.com/biz/sound-plaza-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,2,4.5,,52.3533401,4.8557281,shopping
R4mdArHpzQfn2aUCgo6cEQ,Imagio,https://www.yelp.com/biz/imagio-amsterdam-2?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,4,3.5,€€,52.3517812,4.8561584,shopping
4DlAYrnmW5I9GElsnQav3g,Etos,https://www.yelp.com/biz/etos-amsterdam-50?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,2,4.5,€€,52.3515660484789,4.85638048499823,shopping
cT7AD7IU58UTWdW17pqiEA,Bestseller AV,https://www.yelp.com/biz/bestseller-av-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,2,4.5,€€,52.3512985898601,4.85619574785233,shopping
vU8_xZEdYP_6b08aGvt73A,Hema,https://www.yelp.com/biz/hema-amsterdam-17?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,5,4.0,€€,52.3466726,4.8763516,shopping
jym8UI6-1OIIlzq7iUSgTQ,De Bruidssuite,https://www.yelp.com/biz/de-bruidssuite-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,3,4.5,€€€,52.34681,4.87043,shopping
FFl5ssxK6yCi8IbxLeGRPg,Gebroeders Winter Kantoorvakhandel,https://www.yelp.com/biz/gebroeders-winter-kantoorvakhandel-amsterdam-2?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,4,4.5,€€,52.35018,4.87874,shopping
t8KCE3XkovHfV6xLm2JYCA,Voor De Wind,https://www.yelp.com/biz/voor-de-wind-amsterdam-2?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,2,5.0,€€,52.3601112,4.8639998,shopping
xAwBl8moUnVmoZI7qBY_pg,Klimmuur Centraal,https://www.yelp.com/biz/klimmuur-centraal-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,10,4.0,,52.37662,4.91169,active
51CL9grpAGoeexY1SJjaMA,HIGH45,https://www.yelp.com/biz/high45-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,2,5.0,,52.3642506524522,4.90654324192461,active
NxqxGs6vy9eRkkhHFnNNpw,NEMO Science Museum,https://www.yelp.com/biz/nemo-science-museum-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,42,4.0,,52.37385,4.91211,arts
v23XPgqr6YsSKdWCXikAZg,Onix Piercings Works,https://www.yelp.com/biz/onix-piercings-works-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,8,3.5,€€,52.36628,4.89548,beautysvc
zBnKsxLIy6nG_bINaNAv9w,Kinki Kappers,https://www.yelp.com/biz/kinki-kappers-amsterdam-4?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,7,3.5,€€,52.3628195,4.8988689,beautysvc
yxVlTD6hNGfEp5oMaaH3Lg,FloatCenter Amsterdam,https://www.yelp.com/biz/floatcenter-amsterdam-amsterdam-2?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,4,4.5,€€€,52.3639297,4.90376,beautysvc
h9x6C4vKVkkS7TVTWflB4g,Asian Beauty,https://www.yelp.com/biz/asian-beauty-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,8,3.5,€€,52.3667,4.89742,beautysvc
U5p5eHYPQ-4EvJBwHj-Rsw,Guerlain Spa,https://www.yelp.com/biz/guerlain-spa-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,2,5.0,,52.364606,4.89668,beautysvc
L6mnbGBNLeto5DgR83xLQA,Verhalenfabriek,https://www.yelp.com/biz/verhalenfabriek-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,1,4.0,,52.3695981,4.9141766,education
3lOXj4GtkvqcfdeQpDOAuw,Hotel NH Collection Amsterdam Doelen,https://www.yelp.com/biz/hotel-nh-collection-amsterdam-doelen-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,14,4.0,€€€,52.36825,4.89586,eventservices
rnOSYg-EFEL7EAK4VHKNNg,Patisserie Kuyt,https://www.yelp.com/biz/patisserie-kuyt-amsterdam?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,24,4.5,€€,52.362526,4.8989906,food
NutHWHm0ZjRae_xjsBxGpA,Lite/Dark Utrechtsestraat,https://www.yelp.com/biz/lite-dark-utrechtsestraat-amsterdam-2?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,19,4.5,€€€,52.3646904,4.8978557,food
xFKBRqy0MBL46_xJ-Gwjbg,Soup en Zo,https://www.yelp.com/biz/soup-en-zo-amsterdam-3?adjust_creative=36CiYOl4Kf525knEbUByyg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=36CiYOl4Kf525knEbUByyg,26,4.5,€,52.36901,4.90209,food
