source,city,postcode,type,price,surface,rooms,furnished,latitude,longitude,postType
Kamernet,amsterdam,1011NC, - Room ," € 1050,-  ",17 m2,,Furnished,52.369356,4.905276,Rent
Kamernet,amsterdam,1069DA, - Room ," € 1100,-  Utilities incl. ",45 m2,,Furnished,52.356021,4.797621,Rent
Kamernet,amsterdam,1054MH, - Apartment ," € 864,-  ",81 m2, - 2 bedrooms ,Furnished,52.362612,4.863867,Rent
Kamernet,amsterdam,1077RW, - Room ," € 850,-  Utilities incl. ",18 m2,,Unfurnished,52.346744,4.877514,Rent
Kamernet,amsterdam,1068JD, - Room ," € 950,-  Utilities incl. ",13 m2,,Furnished,52.356762,4.814439,Rent
Kamernet,amsterdam,1054KK, - Room ," € 1200,-  Utilities incl. ",10 m2,,Unfurnished,52.358939,4.859302,Rent
Kamernet,amsterdam,1068MS, - Room ," € 1000,-  ",12 m2,,Furnished,52.353671,4.803934,Rent
Kamernet,amsterdam,1079VL, - Room ," € 750,-  ",20 m2,,Unfurnished,52.346357,4.910708,Rent
Kamernet,amsterdam,1057NG, - Room ," € 850,-  Utilities incl. ",14 m2,,Furnished,52.3648,4.844059,Rent
Kamernet,amsterdam,1066MT, - Room ," € 600,-  Utilities incl. ",10 m2,,Furnished,52.34541,4.813124,Rent
Kamernet,amsterdam,1055XP, - Room ," € 1000,-  Utilities incl. ",9 m2,,Furnished,52.38166,4.854696,Rent
Kamernet,amsterdam,1095AE, - Room ," € 1000,-  Utilities incl. ",12 m2,,Unfurnished,52.366391,4.950204,Rent
Kamernet,amsterdam,1018AK, - Room ," € 1000,-  Utilities incl. ",17 m2,,Furnished,52.368739,4.931652,Rent
Kamernet,amsterdam,1057HM, - Room ," € 900,-  Utilities incl. ",17 m2,,Furnished,52.368493,4.862922,Rent
Kamernet,amsterdam,1106AE, - Room ," € 690,-  Utilities incl. ",16 m2,,Furnished,52.298368,4.973922,Rent
Kamernet,amsterdam,1054CD, - Room ," € 780,-  Utilities incl. ",10 m2,,Furnished,52.364309,4.87638,Rent
Kamernet,amsterdam,1059XR, - Room ," € 1650,-  ",65 m2,,Furnished,52.351259,4.848665,Rent
Kamernet,amsterdam,1015BT, - Studio ," € 3770,-  ",120 m2, - 3 bedrooms ,Furnished,52.375987,4.888571,Rent
Kamernet,amsterdam,1067MX, - Room ," € 700,-  Utilities incl. ",14 m2,,Furnished,52.374833,4.801461,Rent
Kamernet,amsterdam,1063PR, - Room ," € 750,-  ",8 m2,,Furnished,52.37994,4.819127,Rent
Kamernet,amsterdam,1106EE, - Room ," € 1100,-  Utilities incl. ",25 m2,,Furnished,52.304931,4.968751,Rent
Kamernet,amsterdam,1016VW, - Room ," € 850,-  Utilities incl. ",9 m2,,Furnished,52.370951,4.877132,Rent
Kamernet,amsterdam,1053ZC, - Room ," € 430,-  Utilities incl. ",8 m2,,Furnished,52.369993,4.873383,Rent
Kamernet,amsterdam,1058NL, - Room ," € 725,-  Utilities incl. ",9 m2,,Unfurnished,52.352941,4.851286,Rent
Kamernet,amsterdam,1019JH, - Room ," € 850,-  Utilities incl. ",20 m2,,,52.370679,4.936187,Rent
Kamernet,amsterdam,1068CD, - Room ," € 525,-  Utilities incl. ",11 m2,,Unfurnished,52.362487,4.807968,Rent
Kamernet,amsterdam,1018LP, - Room ," € 960,-  Utilities incl. ",12 m2,,Furnished,52.371457,4.921946,Rent
Kamernet,amsterdam,1065GA, - Room ," € 850,-  ",10 m2,,Furnished,52.356868,4.825084,Rent
Kamernet,amsterdam,1105AW, - Room ," € 950,-  Utilities incl. ",58 m2,,Furnished,52.297909,4.957673,Rent
Kamernet,amsterdam,1102ZK, - Room ," € 375,-  Utilities incl. ",10 m2,,Unfurnished,52.325652,4.947507,Rent
Kamernet,amsterdam,1052ER, - Apartment ," € 1495,-  Utilities incl. ",35 m2,,Furnished,52.380077,4.876471,Rent
Kamernet,amsterdam,1106ES, - Room ," € 650,-  Utilities incl. ",11 m2,,Furnished,52.304101,4.964894,Rent
Kamernet,amsterdam,1058DP, - Apartment ," € 925,-  ",40 m2, - 1 bedroom ,Furnished,52.36127,4.850262,Rent
Kamernet,amsterdam,1083JE, - Room ," € 1050,-  Utilities incl. ",20 m2,,Furnished,52.333784,4.882077,Rent
Kamernet,amsterdam,1091CZ, - Room ," € 1100,-  ",15 m2,,Furnished,52.357496,4.913151,Rent
Kamernet,amsterdam,1013KB, - Room ," € 775,-  Utilities incl. ",9 m2,,Furnished,52.382235,4.887786,Rent
Kamernet,amsterdam,1012XM, - Studio ," € 1500,-  Utilities incl. ",35 m2, - 1 bedroom ,Furnished,52.368001,4.890254,Rent
Kamernet,amsterdam,1067PV, - Room ," € 550,-  Utilities incl. ",16 m2,,Furnished,52.375169,4.799461,Rent
Kamernet,amsterdam,1058PC, - Room ," € 920,-  ",16 m2,,Unfurnished,52.351162,4.850965,Rent
Kamernet,amsterdam,1057JV, - Apartment ," € 1200,-  ",50 m2, - 1 bedroom ,Uncarpeted,52.370839,4.862669,Rent
Kamernet,amsterdam,1075VW, - Room ," € 820,-  Utilities incl. ",7 m2,,Furnished,52.35314,4.856211,Rent
Kamernet,amsterdam,1108BS, - Room ," € 390,-  Utilities incl. ",7 m2,,Unfurnished,52.308448,4.976278,Rent
Kamernet,amsterdam,1095JD, - Apartment ," € 3500,-  Utilities incl. ",105 m2, - 3 bedrooms ,Furnished,52.359142,4.942644,Rent
Kamernet,amsterdam,1086ZG, - Room ," € 700,-  Utilities incl. ",20 m2,,Furnished,52.361328,4.978761,Rent
Kamernet,amsterdam,1021TR, - Apartment ," € 1800,-  Utilities incl. ",75 m2, - 1 bedroom ,Furnished,52.387787,4.922483,Rent
Kamernet,amsterdam,1057DH, - Apartment ," € 1300,-  ",50 m2, - 1 bedroom ,Uncarpeted,52.367722,4.852559,Rent
Kamernet,amsterdam,1078RM, - Room ," € 450,-  Utilities incl. ",16 m2,,Furnished,52.347232,4.90567,Rent
Kamernet,amsterdam,1035CT, - Apartment ," € 650,-  ",9 m2,,Unfurnished,52.417195,4.892128,Rent
Kamernet,amsterdam,1108BS, - Room ," € 465,-  Utilities incl. ",8 m2,,Unfurnished,52.308448,4.976278,Rent
Kamernet,amsterdam,1093JD, - Room ," € 900,-  Utilities incl. ",24 m2,,Unfurnished,52.360356,4.927381,Rent
Kamernet,amsterdam,1015CL, - Room ," € 925,-  Utilities incl. ",23 m2,,Unfurnished,52.37558,4.886682,Rent
Kamernet,amsterdam,1108HR, - Room ," € 675,-  Utilities incl. ",22 m2,,Unfurnished,52.307612,4.98338,Rent
Kamernet,amsterdam,1095EW, - Room ," € 750,-  ",14 m2,,Uncarpeted,52.361558,4.944647,Rent
Kamernet,amsterdam,1105BM, - Studio ," € 950,-  ",39 m2, - 1 bedroom ,Unfurnished,52.298622,4.955197,Rent
Kamernet,amsterdam,1102AV, - Room ," € 600,-  Utilities incl. ",6 m2,,Furnished,52.317674,4.955049,Rent
Kamernet,amsterdam,1067JK, - Room ," € 477,-  ",7 m2,,Uncarpeted,52.379098,4.79878,Rent
Kamernet,amsterdam,1024AL, - Room ," € 1100,-  Utilities incl. ",12 m2,,Furnished,52.398297,4.950271,Rent
Kamernet,amsterdam,1065TJ, - Room ," € 630,-  Utilities incl. ",20 m2,,Furnished,52.354415,4.831698,Rent
Kamernet,amsterdam,1056WR, - Apartment ," € 1550,-  ",57 m2, - 1 bedroom ,Furnished,52.373784,4.86217,Rent
Kamernet,amsterdam,1017VM, - Room ," € 700,-  Utilities incl. ",15 m2,,Furnished,52.361488,4.899337,Rent
Kamernet,amsterdam,1097GC, - Room ," € 850,-  Utilities incl. ",10 m2,,Furnished,52.347721,4.938399,Rent
Kamernet,amsterdam,1091DE, - Room ," € 950,-  Utilities incl. ",10 m2,,Furnished,52.360925,4.91535,Rent
Kamernet,amsterdam,1018BC, - Apartment ," € 900,-  Utilities incl. ",66 m2, - 1 bedroom ,Furnished,52.369413,4.914569,Rent
Kamernet,amsterdam,1094XZ, - Room ," € 495,-  Utilities incl. ",12 m2,,Furnished,52.361929,4.935705,Rent
Kamernet,amsterdam,1107CS, - Apartment ," € 1650,-  ",70 m2,,Furnished,52.293165,4.991505,Rent
Kamernet,amsterdam,1086ZJ, - Room ," € 900,-  Utilities incl. ",10 m2,,Unfurnished,52.362717,4.982286,Rent
Kamernet,amsterdam,1073XR, - Apartment ," € 2100,-  ",76 m2, - 2 bedrooms ,Unfurnished,52.357233,4.895378,Rent
Kamernet,amsterdam,1055LM, - Room ," € 525,-  Utilities incl. ",8 m2,,Unfurnished,52.379651,4.855204,Rent
Kamernet,amsterdam,1023AD, - Room ," € 669,-  Utilities incl. ",16 m2,,Uncarpeted,52.391263,4.941375,Rent
Kamernet,amsterdam,1097AL, - Room ," € 995,-  Utilities incl. ",10 m2,,Furnished,52.353333,4.927973,Rent
Kamernet,amsterdam,1057JC, - Apartment ," € 1700,-  ",68 m2, - 1 bedroom ,Furnished,52.370892,4.860953,Rent
Kamernet,amsterdam,1106EE, - Room ," € 1050,-  Utilities incl. ",25 m2,,Furnished,52.304931,4.968751,Rent
Kamernet,amsterdam,1094GG, - Apartment ," € 1850,-  Utilities incl. ",69 m2,,Unfurnished,52.364393,4.934014,Rent
Kamernet,amsterdam,1053GD, - Room ," € 995,-  ",95 m2,,Furnished,52.365039,4.863142,Rent
Kamernet,amsterdam,1055JT, - Room ," € 750,-  Utilities incl. ",12 m2,,Furnished,52.381419,4.845377,Rent
Kamernet,amsterdam,1075RG, - Apartment ," € 1950,-  ",64 m2, - 1 bedroom ,Furnished,52.351037,4.858418,Rent
Kamernet,amsterdam,1059XR, - Apartment ," € 1585,-  ",60 m2,,Furnished,52.351259,4.848665,Rent
Kamernet,amsterdam,1075RG, - Apartment ," € 2200,-  ",64 m2, - 1 bedroom ,Furnished,52.351037,4.858418,Rent
Kamernet,amsterdam,1107TE, - Room ," € 630,-  Utilities incl. ",24 m2,,Furnished,52.291283,4.970608,Rent
Kamernet,amsterdam,1063NJ, - Apartment ," € 1500,-  Utilities incl. ",35 m2, - 1 bedroom ,Furnished,52.381303,4.814568,Rent
Kamernet,amsterdam,1098TJ, - Room ," € 550,-  Utilities incl. ",11 m2,,Furnished,52.352341,4.943591,Rent
Kamernet,amsterdam,1103MT, - Studio ," € 1150,-  Utilities incl. ",30 m2, - 1 bedroom ,Furnished,52.322482,4.965652,Rent
Kamernet,amsterdam,1106DC, - Room ," € 830,-  Utilities incl. ",23 m2,,Unfurnished,52.29852,4.984574,Rent
