source,postType,city,location,title,price,surface,rooms,furnished,url,scrape_date,post_code
Pararius,Buy,amsterdam,1018 RN Amsterdam (Oostelijke Eilanden/Kadijken),Appartement Cornelis Vermuydenstraat 68,€ 585.000 k.k.,68 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/506ebf4a/cornelis-vermuydenstraat,2024-12-07,1018 RN
Pararius,Buy,amsterdam,1054 VD Amsterdam (Overtoomse Sluis),Appartement Brederodestraat 109 2,€ 475.000 k.k.,54 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/0eb935cc/brederodestraat,2024-12-07,1054 VD
Pararius,Buy,amsterdam,1058 SE Amsterdam (Hoofddorppleinbuurt),Appartement Albert Neuhuysstraat 28 H,€ 520.000 k.k.,70 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/128b2fd6/albert-neuhuysstraat,2024-12-07,1058 SE
Pararius,Buy,amsterdam,1017 LW Amsterdam (De Weteringschans),Appartement Reguliersgracht 104 F,€ 1.695.000 k.k.,185 m²,5 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/29e07118/reguliersgracht,2024-12-07,1017 LW
Pararius,Buy,amsterdam,1091 XT Amsterdam (Transvaalbuurt),Appartement Ben Viljoenstraat 8,€ 550.000 k.k.,63 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/6e18820d/ben-viljoenstraat,2024-12-07,1091 XT
Pararius,Buy,amsterdam,1018 AD Amsterdam (Oostelijke Eilanden/Kadijken),Appartement Entrepotdok 195,€ 585.000 k.k.,57 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/1d6d6de9/entrepotdok,2024-12-07,1018 AD
Pararius,Buy,amsterdam,1061 MB Amsterdam (De Kolenkit),Appartement Rinus Michelslaan 339,€ 1.060.000 k.k.,155 m²,5 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/5360aad9/rinus-michelslaan,2024-12-07,1061 MB
Pararius,Buy,amsterdam,1065 EN Amsterdam (Slotervaart-Zuid),Appartement Jacques Veltmanstraat 76 1,€ 349.000 k.k.,47 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/95d21f82/jacques-veltmanstraat,2024-12-07,1065 EN
Pararius,Buy,amsterdam,1096 GJ Amsterdam (Omval/Overamstel),Appartement Welnastraat 431,€ 285.000 k.k.,28 m²,1 kamer,,https://www.pararius.nl/appartement-te-koop/amsterdam/a403046b/welnastraat,2024-12-07,1096 GJ
Pararius,Buy,amsterdam,1025 ET Amsterdam (Buikslotermeer),Appartement Buikslotermeerplein 87,€ 475.000 k.k.,89 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/ee912ae0/buikslotermeerplein,2024-12-07,1025 ET
Pararius,Buy,amsterdam,1087 VA Amsterdam (IJburg-Oost),Appartement Muiderlaan 385,€ 600.000 k.k.,88 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/c7da21ea/muiderlaan,2024-12-07,1087 VA
Pararius,Buy,amsterdam,1054 ES Amsterdam (Vondelparkbuurt),Appartement Stadhouderskade 18 G,€ 1.800.000 k.k.,214 m²,5 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/0ee1add0/stadhouderskade,2024-12-07,1054 ES
Pararius,Buy,amsterdam,1077 EG Amsterdam (Apollobuurt),Appartement Gerrit van der Veenstraat 50 1,€ 1.250.000 k.k.,138 m²,5 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/2e52d47b/gerrit-van-der-veenstraat,2024-12-07,1077 EG
Pararius,Buy,amsterdam,1071 LR Amsterdam (Museumkwartier),Appartement Hondecoeterstraat 4 HA,€ 1.100.000 k.k.,103 m²,4 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/61c155c2/hondecoeterstraat,2024-12-07,1071 LR
Pararius,Buy,amsterdam,1087 VS Amsterdam (IJburg-Oost),Appartement Quashibastraat 40 C,€ 700.000 k.k.,110 m²,6 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/061872c7/quashibastraat,2024-12-07,1087 VS
Pararius,Buy,amsterdam,1053 XX Amsterdam (Da Costabuurt),Appartement Potgieterstraat 20 4,€ 610.000 k.k.,61 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/d86fd281/potgieterstraat,2024-12-07,1053 XX
Pararius,Buy,amsterdam,1087 KH Amsterdam (IJburg-West),Appartement Lumièrestraat 84,€ 495.000 k.k.,87 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/0f371840/lumierestraat,2024-12-07,1087 KH
Pararius,Buy,amsterdam,1024 BD Amsterdam (Waterlandpleinbuurt),Appartement Jisperveldstraat 597,€ 219.500 k.k.,30 m²,1 kamer,,https://www.pararius.nl/appartement-te-koop/amsterdam/89b83ad3/jisperveldstraat,2024-12-07,1024 BD
Pararius,Buy,amsterdam,1072 VK Amsterdam (Oude Pijp),Appartement Gerard Doustraat 35 3,€ 675.000 k.k.,75 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/32e3df2f/gerard-doustraat,2024-12-07,1072 VK
Pararius,Buy,amsterdam,1012 KL Amsterdam (Burgwallen-Oude Zijde),Appartement Rokin 87 K,€ 800.000 k.k.,113 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/328802a6/rokin,2024-12-07,1012 KL
Pararius,Buy,amsterdam,1012 HL Amsterdam (Burgwallen-Oude Zijde),Appartement Pieter Jacobszstraat 8 B,€ 515.000 k.k.,76 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/f0501584/pieter-jacobszstraat,2024-12-07,1012 HL
Pararius,Buy,amsterdam,1017 DW Amsterdam (Grachtengordel-Zuid),Appartement Keizersgracht 691 C,€ 900.000 k.k.,70 m²,3 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/0bb1b923/keizersgracht,2024-12-07,1017 DW
Pararius,Buy,amsterdam,1011 LM Amsterdam (Nieuwmarkt/Lastage),Appartement Nieuwe Uilenburgerstraat 9 E,€ 575.000 k.k.,75 m²,2 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/92e4e330/nieuwe-uilenburgerstraat,2024-12-07,1011 LM
Pararius,Buy,amsterdam,1021 VC Amsterdam (IJplein/Vogelbuurt),Appartement Kievitstraat 1 A,€ 550.000 k.k.,84 m²,4 kamers,,https://www.pararius.nl/appartement-te-koop/amsterdam/de2c79e8/kievitstraat,2024-12-07,1021 VC
