page_source,first_scrape_date,last_scrape_date,url,post_type,city,location,title,property_type,postcode,price,price_type,surface,surface_unit,rooms,furnished,postcode_1,gemeente,gemeente_code,wijk,wijk_code,buurt,buurt_code,stadsdeel_onderverdeling,stadsdeel,pc6_jaar
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/huis-te-koop/amsterdam/c8abb62a/burgemeester-kasteleinstraat,Buy,Amsterdam,,Huis Burgemeester Kasteleinstraat 79,Huis,1109 BB,550000,k.k.,128,m2,4,,1109 BB,Amsterdam,GM0363,Driemond,WK0363SA,Dorp Driemond,BU0363SA02,Weesp,Weesp,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/huis-te-koop/amsterdam/108a109c/dorpsweg-ransdorp,Buy,Amsterdam,,Huis Dorpsweg Ransdorp 93,Huis,1028 BL,995000,k.k.,181,m2,5,,1028 BL,Amsterdam,GM0363,Waterland,WK0363NQ,Ransdorp,BU0363NQ09,Oost,Stadsdeel Noord,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/huis-te-koop/amsterdam/9ed61000/achterlaan,Buy,Amsterdam,,Huis Achterlaan 22,Huis,1027 AK,675000,k.k.,123,m2,4,,1027 AK,Amsterdam,GM0363,Waterland,WK0363NQ,Zunderdorp,BU0363NQ03,Oost,Stadsdeel Noord,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/huis-te-koop/amsterdam/16482824/2e-kekerstraat,Buy,Amsterdam,,Huis 2e Kekerstraat 23,Huis,1104 VB,450000,k.k.,97,m2,4,,1104 VB,Amsterdam,GM0363,K-buurt,WK0363TH,K-buurt-Zuidwest,BU0363TH04,Bijlmer Oost,Stadsdeel Zuidoost,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/huis-te-koop/amsterdam/3619a87e/3e-kekerstraat,Buy,Amsterdam,,Huis 3e Kekerstraat 25,Huis,1104 VC,450000,k.k.,96,m2,4,,1104 VC,Amsterdam,GM0363,K-buurt,WK0363TH,K-buurt-Zuidwest,BU0363TH04,Bijlmer Oost,Stadsdeel Zuidoost,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/huis-te-koop/amsterdam/3c96dd13/kadoelenweg,Buy,Amsterdam,,Huis Kadoelenweg 358 A,Huis,1035 NT,875000,k.k.,88,m2,2,,1035 NT,Amsterdam,GM0363,Kadoelen,WK0363ND,Kadoelen,BU0363ND02,West,Stadsdeel Noord,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/huis-te-koop/amsterdam/eadfebab/wijkergouw,Buy,Amsterdam,,Huis Wijkergouw 21,Huis,1023 NV,1150000,k.k.,137,m2,5,,1023 NV,Amsterdam,GM0363,Waterland,WK0363NQ,Schellingwoude-Oost,BU0363NQ05,Oost,Stadsdeel Noord,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/huis-te-koop/amsterdam/e72a26f5/dorpsweg-ransdorp,Buy,Amsterdam,,Huis Dorpsweg Ransdorp 12,Huis,1028 BN,1050000,k.k.,134,m2,4,,1028 BN,Amsterdam,GM0363,Waterland,WK0363NQ,Ransdorp,BU0363NQ09,Oost,Stadsdeel Noord,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/huis-te-koop/amsterdam/fdb3017e/groesbeekdreef,Buy,Amsterdam,,Huis Groesbeekdreef 74,Huis,1103 TM,450000,k.k.,103,m2,4,,1103 TM,Amsterdam,GM0363,Ganzenhoef e.o.,WK0363TE,G-buurt-West,BU0363TE02,Bijlmer Oost,Stadsdeel Zuidoost,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/huis-te-koop/amsterdam/c68cceb2/thomas-prinslaan,Buy,Amsterdam,,Huis Thomas Prinslaan 123,Huis,1035 SK,589000,k.k.,107,m2,4,,1035 SK,Amsterdam,GM0363,Kadoelen,WK0363ND,Twiske-Oost,BU0363ND01,West,Stadsdeel Noord,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/house-for-rent/amsterdam/fc39b9d4/wethouder-wierdelsstraat,Rent,Amsterdam,,House Wethouder Wierdelsstraat,House,1107 DK,2200,per month,117,m2,5,Upholstered,1107 DK,Amsterdam,GM0363,Gein,WK0363TM,Gein 4,BU0363TM04,Gaasperdam,Stadsdeel Zuidoost,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/6cfa90e6/vleutenstraat,Buy,Amsterdam,,Appartement Vleutenstraat 2,Appartement,1106 CX,400000,k.k.,69,m2,3,,1106 CX,Amsterdam,GM0363,Gein,WK0363TM,Gein 1,BU0363TM01,Gaasperdam,Stadsdeel Zuidoost,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/6e41395b/schalkwijkpad,Buy,Amsterdam,,Appartement Schalkwijkpad 37,Appartement,1107 JM,350000,k.k.,86,m2,4,,1107 JM,Amsterdam,GM0363,Reigersbos,WK0363TL,Reigersbos 2,BU0363TL02,Gaasperdam,Stadsdeel Zuidoost,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/8165e63c/toutenburgstraat,Buy,Amsterdam,,Appartement Toutenburgstraat 17,Appartement,1107 PT,325000,k.k.,70,m2,3,,1107 PT,Amsterdam,GM0363,Reigersbos,WK0363TL,Reigersbos 3,BU0363TL03,Gaasperdam,Stadsdeel Zuidoost,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/faf77e54/emmeline-pankhurststraat,Buy,Amsterdam,,Appartement Emmeline Pankhurststraat 24,Appartement,1103 MN,395000,k.k.,97,m2,4,,1103 MN,Amsterdam,GM0363,Ganzenhoef e.o.,WK0363TE,G-buurt-West,BU0363TE02,Bijlmer Oost,Stadsdeel Zuidoost,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/5a019bc1/vondelstraat,Buy,Amsterdam,,Appartement Vondelstraat 108 B,Appartement,1054 GR,3000000,k.k.,301,m2,12,,1054 GR,Amsterdam,GM0363,Vondelparkbuurt,WK0363EV,Vondelparkbuurt-Midden,BU0363EV01,Oud West / De Baarsjes,Stadsdeel West,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/c607154f/kikkenstein,Buy,Amsterdam,,Appartement Kikkenstein 2024,Appartement,1104 TA,270000,k.k.,78,m2,2,,1104 TA,Amsterdam,GM0363,Bijlmermuseum,WK0363TG,Bijlmermuseum-Zuid,BU0363TG02,Bijlmer Oost,Stadsdeel Zuidoost,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/428b94aa/soesterberghof,Buy,Amsterdam,,Appartement Soesterberghof 82,Appartement,1107 GR,250000,k.k.,57,m2,2,,1107 GR,Amsterdam,GM0363,Reigersbos,WK0363TL,Reigersbos 2,BU0363TL02,Gaasperdam,Stadsdeel Zuidoost,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/157f0036/schelluinenstraat,Buy,Amsterdam,,Appartement Schelluinenstraat 68,Appartement,1107 JK,395000,k.k.,86,m2,4,,1107 JK,Amsterdam,GM0363,Reigersbos,WK0363TL,Reigersbos 2,BU0363TL02,Gaasperdam,Stadsdeel Zuidoost,2024
