page_source,first_scrape_date,last_scrape_date,url,post_type,city,location,title,property_type,postcode,price,price_type,surface,surface_unit,rooms,furnished,postcode_1,gemeente,gemeente_code,wijk,wijk_code,buurt,buurt_code,stadsdeel_onderverdeling,stadsdeel,pc6_jaar
Pararius,2024-12-18,2024-12-19,https://www.pararius.nl/apartment-for-rent/amsterdam/fdf839a1/keizersgracht,Rent,Amsterdam,1016 EW Amsterdam (Grachtengordel-West),Flat Keizersgracht,Flat,1016 EW,3900,per month,159,m²,3,,1016 EW,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Felix Meritisbuurt,BU0363AC03,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/apartment-for-rent/amsterdam/01cc7c1c/herengracht,Rent,Amsterdam,1015 BD Amsterdam (Grachtengordel-West),Flat Herengracht,Flat,1015 BD,3100,per month,80,m²,4,Upholstered or furnished,1015 BD,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Langestraat e.o.,BU0363AC01,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/apartment-for-rent/amsterdam/9951c64c/singel,Rent,Amsterdam,1015 AG Amsterdam (Grachtengordel-West),Flat Singel,Flat,1015 AG,8950,per month,239,m²,5,Furnished,1015 AG,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Leliegracht e.o.,BU0363AC02,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/apartment-for-rent/amsterdam/1b8ca9aa/langestraat,Rent,Amsterdam,1015 AL Amsterdam (Grachtengordel-West),Flat Langestraat 8 3,Flat,1015 AL,3200,per month,81,m²,5,Upholstered,1015 AL,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Langestraat e.o.,BU0363AC01,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/apartment-for-rent/amsterdam/4c363bd5/herengracht,Rent,Amsterdam,1015 BM Amsterdam (Grachtengordel-West),Flat Herengracht 40 E,Flat,1015 BM,7950,per month,278,m²,6,Furnished,1015 BM,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Langestraat e.o.,BU0363AC01,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/apartment-for-rent/amsterdam/da1c7e45/keizersgracht,Rent,Amsterdam,1015 CV Amsterdam (Grachtengordel-West),Flat Keizersgracht,Flat,1015 CV,3500,per month,120,m²,3,Furnished,1015 CV,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Leliegracht e.o.,BU0363AC02,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/apartment-for-rent/amsterdam/5a2677f4/prinsengracht,Rent,Amsterdam,1016 HM Amsterdam (Grachtengordel-West),Flat Prinsengracht,Flat,1016 HM,3150,per month,135,m²,3,Furnished,1016 HM,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Felix Meritisbuurt,BU0363AC03,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/apartment-for-rent/amsterdam/cf0925e3/prinsengracht,Rent,Amsterdam,1016 GX Amsterdam (Grachtengordel-West),Flat Prinsengracht 303 E,Flat,1016 GX,3450,per month,110,m²,3,Upholstered,1016 GX,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Felix Meritisbuurt,BU0363AC03,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/apartment-for-rent/amsterdam/4f377de5/keizersgracht,Rent,Amsterdam,1016 EK Amsterdam (Grachtengordel-West),Flat Keizersgracht,Flat,1016 EK,4950,per month,145,m²,8,Furnished,1016 EK,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Leidsegracht-Noord,BU0363AC04,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/apartment-for-rent/amsterdam/546db214/prinsengracht,Rent,Amsterdam,1016 GX Amsterdam (Grachtengordel-West),Flat Prinsengracht,Flat,1016 GX,3000,per month,90,m²,3,Furnished,1016 GX,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Felix Meritisbuurt,BU0363AC03,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/apartment-for-rent/amsterdam/ff86d4cb/keizersgracht,Rent,Amsterdam,1015 CN Amsterdam (Grachtengordel-West),Flat Keizersgracht,Flat,1015 CN,3400,per month,130,m²,3,Furnished,1015 CN,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Langestraat e.o.,BU0363AC01,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/apartment-for-rent/amsterdam/c74f3520/herengracht,Rent,Amsterdam,1015 BA Amsterdam (Grachtengordel-West),Flat Herengracht,Flat,1015 BA,2975,per month,85,m²,2,Upholstered,1015 BA,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Langestraat e.o.,BU0363AC01,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/apartment-for-rent/amsterdam/d3175de2/westermarkt,Rent,Amsterdam,1016 DJ Amsterdam (Grachtengordel-West),Flat Westermarkt,Flat,1016 DJ,2750,per month,67,m²,2,Furnished,1016 DJ,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Felix Meritisbuurt,BU0363AC03,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/apartment-for-rent/amsterdam/b6004288/westermarkt,Rent,Amsterdam,1016 DJ Amsterdam (Grachtengordel-West),Flat Westermarkt,Flat,1016 DJ,3650,per month,108,m²,4,Upholstered,1016 DJ,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Felix Meritisbuurt,BU0363AC03,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/apartment-for-rent/amsterdam/0aa31be7/herengracht,Rent,Amsterdam,1015 BA Amsterdam (Grachtengordel-West),Flat Herengracht,Flat,1015 BA,3750,per month,120,m²,4,Upholstered,1015 BA,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Langestraat e.o.,BU0363AC01,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/apartment-for-rent/amsterdam/ba6ccf7f/keizersgracht,Rent,Amsterdam,1015 CR Amsterdam (Grachtengordel-West),Flat Keizersgracht 28 C,Flat,1015 CR,3550,per month,103,m²,2,Furnished,1015 CR,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Langestraat e.o.,BU0363AC01,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/huis-te-koop/amsterdam/9b28a3a8/brouwersgracht,Buy,Amsterdam,1015 GB Amsterdam (Grachtengordel-West),Huis Brouwersgracht 35 B,Huis,1015 GB,1150000,k.k.,105,m²,4,,1015 GB,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Langestraat e.o.,BU0363AC01,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/huis-te-koop/amsterdam/7852a1a2/runstraat,Buy,Amsterdam,1016 GK Amsterdam (Grachtengordel-West),Huis Runstraat 28,Huis,1016 GK,950000,k.k.,97,m²,4,,1016 GK,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Felix Meritisbuurt,BU0363AC03,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/huis-te-koop/amsterdam/b8b32c7f/keizersgracht,Buy,Amsterdam,1015 CE Amsterdam (Grachtengordel-West),Huis Keizersgracht 69 E,Huis,1015 CE,500000,v.o.n.,49,m²,3,,1015 CE,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Langestraat e.o.,BU0363AC01,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/huis-te-koop/amsterdam/1292d943/prinsengracht,Buy,Amsterdam,1015 DT Amsterdam (Grachtengordel-West),Huis Prinsengracht 215 M,Huis,1015 DT,389000,v.o.n.,40,m²,3,,1015 DT,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Leliegracht e.o.,BU0363AC02,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/huis-te-koop/amsterdam/f3b7489c/herenstraat,Buy,Amsterdam,1015 BX Amsterdam (Grachtengordel-West),Huis Herenstraat 1,Huis,1015 BX,1495000,k.k.,144,m²,6,,1015 BX,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Leliegracht e.o.,BU0363AC02,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/huis-te-koop/amsterdam/59fc9c72/prinsenstraat,Buy,Amsterdam,1015 DD Amsterdam (Grachtengordel-West),Huis Prinsenstraat 26 H,Huis,1015 DD,980000,k.k.,126,m²,4,,1015 DD,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Langestraat e.o.,BU0363AC01,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/huis-te-koop/amsterdam/3839e749/keizersgracht,Buy,Amsterdam,1015 CH Amsterdam (Grachtengordel-West),Huis Keizersgracht 99 F,Huis,1015 CH,600000,v.o.n.,54,m²,2,,1015 CH,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Leliegracht e.o.,BU0363AC02,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/huis-te-koop/amsterdam/a78bb726/brouwersgracht,Buy,Amsterdam,1015 GC Amsterdam (Grachtengordel-West),Huis Brouwersgracht 69 F,Huis,1015 GC,369000,v.o.n.,35,m²,1,,1015 GC,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Langestraat e.o.,BU0363AC01,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/house-for-rent/amsterdam/5ae6d502/herengracht,Rent,Amsterdam,1016 BT Amsterdam (Grachtengordel-West),House Herengracht 222,House,1016 BT,7500,per month,350,m²,8,Upholstered,1016 BT,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Felix Meritisbuurt,BU0363AC03,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/house-for-rent/amsterdam/be357e96/keizersgracht,Rent,Amsterdam,1015 CP Amsterdam (Grachtengordel-West),House Keizersgracht,House,1015 CP,2750,per month,65,m²,2,Furnished,1015 CP,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Langestraat e.o.,BU0363AC01,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/house-for-rent/amsterdam/0f9238dc/prinsengracht,Rent,Amsterdam,1016 HP Amsterdam (Grachtengordel-West),House Prinsengracht,House,1016 HP,2750,per month,87,m²,3,Furnished,1016 HP,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Felix Meritisbuurt,BU0363AC03,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/167e3035/brouwersgracht,Buy,Amsterdam,1015 GA Amsterdam (Grachtengordel-West),Appartement Brouwersgracht 3,Appartement,1015 GA,950000,k.k.,188,m²,3,,1015 GA,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Langestraat e.o.,BU0363AC01,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/71be3d51/herengracht,Buy,Amsterdam,1015 BT Amsterdam (Grachtengordel-West),Appartement Herengracht 120 D,Appartement,1015 BT,599000,k.k.,55,m²,2,,1015 BT,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Leliegracht e.o.,BU0363AC02,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/2feb590e/herengracht,Buy,Amsterdam,1015 BR Amsterdam (Grachtengordel-West),Appartement Herengracht 76 H,Appartement,1015 BR,500000,k.k.,57,m²,3,,1015 BR,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Langestraat e.o.,BU0363AC01,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/20bdd994/herengracht,Buy,Amsterdam,1016 BV Amsterdam (Grachtengordel-West),Appartement Herengracht 248 A,Appartement,1016 BV,1150000,k.k.,142,m²,3,,1016 BV,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Felix Meritisbuurt,BU0363AC03,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/fd1e71c8/herengracht,Buy,Amsterdam,1016 BL Amsterdam (Grachtengordel-West),Appartement Herengracht 303 C,Appartement,1016 BL,1050000,k.k.,91,m²,3,,1016 BL,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Felix Meritisbuurt,BU0363AC03,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/46a1b517/herengracht,Buy,Amsterdam,1015 BK Amsterdam (Grachtengordel-West),Appartement Herengracht 10 A,Appartement,1015 BK,1495000,k.k.,207,m²,5,,1015 BK,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Langestraat e.o.,BU0363AC01,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/6ebbb339/keizersgracht,Buy,Amsterdam,1015 CJ Amsterdam (Grachtengordel-West),Appartement Keizersgracht 131 E,Appartement,1015 CJ,1495000,k.k.,112,m²,2,,1015 CJ,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Leliegracht e.o.,BU0363AC02,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/0dd5c941/herenstraat,Buy,Amsterdam,1015 CB Amsterdam (Grachtengordel-West),Appartement Herenstraat 24 B,Appartement,1015 CB,850000,k.k.,102,m²,6,,1015 CB,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Langestraat e.o.,BU0363AC01,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/e6103b9f/westermarkt,Buy,Amsterdam,1016 DH Amsterdam (Grachtengordel-West),Appartement Westermarkt 15 C,Appartement,1016 DH,549000,k.k.,61,m²,2,,1016 DH,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Felix Meritisbuurt,BU0363AC03,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/8580bf33/keizersgracht,Buy,Amsterdam,1015 CE Amsterdam (Grachtengordel-West),Appartement Keizersgracht 65 C,Appartement,1015 CE,1195000,k.k.,129,m²,4,,1015 CE,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Langestraat e.o.,BU0363AC01,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/24e8dded/keizersgracht,Buy,Amsterdam,1015 CE Amsterdam (Grachtengordel-West),Appartement Keizersgracht 79 A,Appartement,1015 CE,1275000,k.k.,130,m²,3,,1015 CE,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Langestraat e.o.,BU0363AC01,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/8f1dd982/herengracht,Buy,Amsterdam,1015 BR Amsterdam (Grachtengordel-West),Appartement Herengracht 76 1,Appartement,1015 BR,525000,k.k.,59,m²,3,,1015 BR,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Langestraat e.o.,BU0363AC01,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/3a03bc69/prinsengracht,Buy,Amsterdam,1016 GX Amsterdam (Grachtengordel-West),Appartement Prinsengracht 299 D,Appartement,1016 GX,1000000,k.k.,93,m²,3,,1016 GX,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Felix Meritisbuurt,BU0363AC03,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/5e0e7c70/prinsengracht,Buy,Amsterdam,1016 HK Amsterdam (Grachtengordel-West),Appartement Prinsengracht 349 A,Appartement,1016 HK,450000,k.k.,52,m²,2,,1016 HK,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Felix Meritisbuurt,BU0363AC03,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/70ba216e/prinsengracht,Buy,Amsterdam,1015 DL Amsterdam (Grachtengordel-West),Appartement Prinsengracht 37 2,Appartement,1015 DL,600000,k.k.,53,m²,2,,1015 DL,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Langestraat e.o.,BU0363AC01,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/dbcec59b/keizersgracht,Buy,Amsterdam,1016 GD Amsterdam (Grachtengordel-West),Appartement Keizersgracht 446 D,Appartement,1016 GD,1145000,k.k.,133,m²,3,,1016 GD,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Leidsegracht-Noord,BU0363AC04,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/a93a5413/keizersgracht,Buy,Amsterdam,1016 GC Amsterdam (Grachtengordel-West),Appartement Keizersgracht 412 B,Appartement,1016 GC,995000,k.k.,89,m²,3,,1016 GC,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Leidsegracht-Noord,BU0363AC04,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/45056ebe/leliegracht,Buy,Amsterdam,1016 GP Amsterdam (Grachtengordel-West),Appartement Leliegracht 17 2,Appartement,1016 GP,1075000,k.k.,136,m²,5,,1016 GP,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Leliegracht e.o.,BU0363AC02,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/9a7b9b4b/runstraat,Buy,Amsterdam,1016 GJ Amsterdam (Grachtengordel-West),Appartement Runstraat 7 2,Appartement,1016 GJ,495000,k.k.,51,m²,2,,1016 GJ,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Leidsegracht-Noord,BU0363AC04,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/7b1ea3cf/singel,Buy,Amsterdam,1015 AC Amsterdam (Grachtengordel-West),Appartement Singel 78 D,Appartement,1015 AC,695000,k.k.,79,m²,2,,1015 AC,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Langestraat e.o.,BU0363AC01,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/5e14f294/herengracht,Buy,Amsterdam,1015 BS Amsterdam (Grachtengordel-West),Appartement Herengracht 86 1,Appartement,1015 BS,725000,k.k.,73,m²,2,,1015 BS,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Leliegracht e.o.,BU0363AC02,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/c4f87b06/keizersgracht,Buy,Amsterdam,1016 GE Amsterdam (Grachtengordel-West),Appartement Keizersgracht 454 2,Appartement,1016 GE,895000,k.k.,86,m²,3,,1016 GE,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Leidsegracht-Noord,BU0363AC04,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/87f96d15/raadhuisstraat,Buy,Amsterdam,1016 DB Amsterdam (Grachtengordel-West),Appartement Raadhuisstraat 17 1,Appartement,1016 DB,350000,k.k.,41,m²,3,,1016 DB,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Felix Meritisbuurt,BU0363AC03,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/19f612ff/westermarkt,Buy,Amsterdam,1016 DH Amsterdam (Grachtengordel-West),Appartement Westermarkt 15 B,Appartement,1016 DH,555000,k.k.,61,m²,2,,1016 DH,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Felix Meritisbuurt,BU0363AC03,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/69954bfe/prinsengracht,Buy,Amsterdam,1016 HL Amsterdam (Grachtengordel-West),Appartement Prinsengracht 379 A,Appartement,1016 HL,700000,k.k.,81,m²,3,,1016 HL,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Felix Meritisbuurt,BU0363AC03,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/c31723cd/prinsengracht,Buy,Amsterdam,1016 HM Amsterdam (Grachtengordel-West),Appartement Prinsengracht 407 D,Appartement,1016 HM,375000,k.k.,38,m²,2,,1016 HM,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Felix Meritisbuurt,BU0363AC03,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/60e076cc/herengracht,Buy,Amsterdam,1015 BT Amsterdam (Grachtengordel-West),Appartement Herengracht 116 C,Appartement,1015 BT,2450000,k.k.,264,m²,3,,1015 BT,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Leliegracht e.o.,BU0363AC02,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/bf2fc805/keizersgracht,Buy,Amsterdam,1015 CW Amsterdam (Grachtengordel-West),Appartement Keizersgracht 120 E,Appartement,1015 CW,850000,k.k.,74,m²,3,,1015 CW,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Leliegracht e.o.,BU0363AC02,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/ecaf68e2/keizersgracht,Buy,Amsterdam,1016 EJ Amsterdam (Grachtengordel-West),Appartement Keizersgracht 351 B,Appartement,1016 EJ,998000,k.k.,122,m²,4,,1016 EJ,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Leidsegracht-Noord,BU0363AC04,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/063037cb/gasthuismolensteeg,Buy,Amsterdam,1016 AM Amsterdam (Grachtengordel-West),Appartement Gasthuismolensteeg 5 3,Appartement,1016 AM,649000,k.k.,67,m²,3,,1016 AM,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Felix Meritisbuurt,BU0363AC03,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/530cf0d6/prinsengracht,Buy,Amsterdam,1015 DN Amsterdam (Grachtengordel-West),Appartement Prinsengracht 81 A,Appartement,1015 DN,1475000,k.k.,183,m²,3,,1015 DN,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Langestraat e.o.,BU0363AC01,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-19,https://www.pararius.nl/appartement-te-koop/amsterdam/3af11a21/prinsengracht,Buy,Amsterdam,1016 HP Amsterdam (Grachtengordel-West),Appartement Prinsengracht 479 1A,Appartement,1016 HP,925000,k.k.,99,m²,4,,1016 HP,Amsterdam,GM0363,Grachtengordel-West,WK0363AC,Felix Meritisbuurt,BU0363AC03,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/apartment-for-rent/amsterdam/810a9c0a/spuistraat,Rent,Amsterdam,,Flat Spuistraat,Flat,1012 SP,1213,per month,45,m2,2,Furnished,1012 SP,Amsterdam,GM0363,Burgwallen-Nieuwe Zijde,WK0363AD,Hemelrijk,BU0363AD02,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/huis-te-koop/amsterdam/c125ff57/sint-geertruidensteeg,Buy,Amsterdam,,Huis Sint Geertruidensteeg 12,Huis,1012 PX,450000,k.k.,44,m2,2,,1012 PX,Amsterdam,GM0363,Burgwallen-Nieuwe Zijde,WK0363AD,Nieuwe Kerk e.o.,BU0363AD05,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/083ed073/t-hol,Buy,Amsterdam,,Appartement 't Hol 8,Appartement,1012 XW,650000,k.k.,94,m2,3,,1012 XW,Amsterdam,GM0363,Burgwallen-Nieuwe Zijde,WK0363AD,Nieuwe Kerk e.o.,BU0363AD05,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/38c46b8c/sint-jacobsstraat,Buy,Amsterdam,,Appartement Sint Jacobsstraat 10,Appartement,1012 NC,395000,k.k.,47,m2,2,,1012 NC,Amsterdam,GM0363,Burgwallen-Nieuwe Zijde,WK0363AD,Nieuwendijk-Noord,BU0363AD03,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-16,https://www.pararius.nl/appartement-te-koop/amsterdam/02565425/spuistraat,Buy,Amsterdam,,Appartement Spuistraat 3 F 6,Appartement,1012 SP,375000,k.k.,38,m2,2,,1012 SP,Amsterdam,GM0363,Burgwallen-Nieuwe Zijde,WK0363AD,Hemelrijk,BU0363AD02,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-17,https://www.pararius.nl/apartment-for-rent/amsterdam/5fa3d881/suikerbakkerssteeg,Rent,Amsterdam,1012 PW Amsterdam (Burgwallen-Nieuwe Zijde),Flat Suikerbakkerssteeg 12 B,Flat,1012 PW,1850,per month,36,m²,2,Upholstered,1012 PW,Amsterdam,GM0363,Burgwallen-Nieuwe Zijde,WK0363AD,Nieuwe Kerk e.o.,BU0363AD05,Centrum-West,Stadsdeel Centrum,2024
Pararius,2024-12-05,2024-12-17,https://www.pararius.nl/appartement-te-koop/amsterdam/5564eebb/sint-nicolaasstraat,Buy,Amsterdam,1012 NK Amsterdam (Burgwallen-Nieuwe Zijde),Appartement Sint Nicolaasstraat 36 B,Appartement,1012 NK,575000,k.k.,70,m²,3,,1012 NK,Amsterdam,GM0363,Burgwallen-Nieuwe Zijde,WK0363AD,Nieuwe Kerk e.o.,BU0363AD05,Centrum-West,Stadsdeel Centrum,2024
