buurt;wijk;stadsdeel_onderverdeling;stadsdeel
Ransdorp;Waterland;Oost;Stadsdeel Noord
Durgerdam;Waterland;Oost;Stadsdeel Noord
Landelijk gebied Driemond;Driemond;Weesp;Weesp
Dorp Driemond;Driemond;Weesp;Weesp
AMC;Amstel III/Bullewijk;Bijlmer Centrum;Stadsdeel Zuidoost
Hoge Dijk;Amstel III/Bullewijk;Bijlmer Centrum;Stadsdeel Zuidoost
D-buurt;Amsterdamse Poort e.o.;Bijlmer Centrum;Stadsdeel Zuidoost
F-buurt;Amsterdamse Poort e.o.;Bijlmer Centrum;Stadsdeel Zuidoost
Amsterdamse Poort;Amsterdamse Poort e.o.;Bijlmer Centrum;Stadsdeel Zuidoost
Vogeltjeswei;Amsterdamse Poort e.o.;Bijlmer Centrum;Stadsdeel Zuidoost
Nelson Mandelapark;Amsterdamse Poort e.o.;Bijlmer Centrum;Stadsdeel Zuidoost
Hoptille;H-buurt;Bijlmer Centrum;Stadsdeel Zuidoost
Rechte H-buurt;H-buurt;Bijlmer Centrum;Stadsdeel Zuidoost
Huntum;H-buurt;Bijlmer Centrum;Stadsdeel Zuidoost
E-buurt;Ganzenhoef e.o.;Bijlmer Oost;Stadsdeel Zuidoost
Kantershof;Geerdinkhof/Kantershof;Bijlmer Oost;Stadsdeel Zuidoost
Gooise Kant;K-buurt;Bijlmer Oost;Stadsdeel Zuidoost
Kortvoort;K-buurt;Bijlmer Oost;Stadsdeel Zuidoost
Kelbergen;K-buurt;Bijlmer Oost;Stadsdeel Zuidoost
L-buurt;Nellestein;Gaasperdam;Stadsdeel Zuidoost
Gaasperpark;Nellestein;Gaasperdam;Stadsdeel Zuidoost
Gaasperplas;Nellestein;Gaasperdam;Stadsdeel Zuidoost
Planciusbuurt-Noord;Haarlemmerbuurt;Centrum-West;Stadsdeel Centrum
Planciusbuurt-Zuid;Haarlemmerbuurt;Centrum-West;Stadsdeel Centrum
Haarlemmerbuurt-West;Haarlemmerbuurt;Centrum-West;Stadsdeel Centrum
Haarlemmerbuurt-Oost;Haarlemmerbuurt;Centrum-West;Stadsdeel Centrum
Marnixbuurt-Noord;Jordaan;Centrum-West;Stadsdeel Centrum
Anjeliersbuurt-Noord;Jordaan;Centrum-West;Stadsdeel Centrum
Anjeliersbuurt-Zuid;Jordaan;Centrum-West;Stadsdeel Centrum
Marnixbuurt-Midden;Jordaan;Centrum-West;Stadsdeel Centrum
Marnixbuurt-Zuid;Jordaan;Centrum-West;Stadsdeel Centrum
Leidsegracht-Noord;Grachtengordel-West;Centrum-West;Stadsdeel Centrum
Hemelrijk;Burgwallen-Nieuwe Zijde;Centrum-West;Stadsdeel Centrum
Nieuwendijk-Noord;Burgwallen-Nieuwe Zijde;Centrum-West;Stadsdeel Centrum
Spuistraat-Noord;Burgwallen-Nieuwe Zijde;Centrum-West;Stadsdeel Centrum
Spuistraat-Zuid;Burgwallen-Nieuwe Zijde;Centrum-West;Stadsdeel Centrum
Burgwallen-Oost;Burgwallen-Oude Zijde;Centrum-West;Stadsdeel Centrum
Leidsegracht-Zuid;Grachtengordel-Zuid;Centrum-Oost;Stadsdeel Centrum
Geelvinckbuurt;Grachtengordel-Zuid;Centrum-Oost;Stadsdeel Centrum
Rembrandtplein e.o.;Grachtengordel-Zuid;Centrum-Oost;Stadsdeel Centrum
Vijzelstraatbuurt;Grachtengordel-Zuid;Centrum-Oost;Stadsdeel Centrum
Leidsebuurt-Noordwest;De Weteringschans;Centrum-Oost;Stadsdeel Centrum
Leidsebuurt-Noordoost;De Weteringschans;Centrum-Oost;Stadsdeel Centrum
Utrechtsebuurt-Zuid;De Weteringschans;Centrum-Oost;Stadsdeel Centrum
Leidsebuurt-Zuidwest;De Weteringschans;Centrum-Oost;Stadsdeel Centrum
Leidsebuurt-Zuidoost;De Weteringschans;Centrum-Oost;Stadsdeel Centrum
Afrikahaven;Havens-West;Westpoort;Westpoort
Westhaven-Noord;Havens-West;Westpoort;Westpoort
Westhaven-Zuid;Havens-West;Westpoort;Westpoort
Coenhaven;Coenhaven/Minervahaven;Westpoort;Westpoort
Vlothaven;Coenhaven/Minervahaven;Westpoort;Westpoort
Minervahaven-Noordoost;Coenhaven/Minervahaven;Westpoort;Westpoort
Minervahaven-Noordwest;Coenhaven/Minervahaven;Westpoort;Westpoort
Minervahaven-Zuidwest;Coenhaven/Minervahaven;Westpoort;Westpoort
Minervahaven-Zuidoost;Coenhaven/Minervahaven;Westpoort;Westpoort
Hemknoop-Noord;Coenhaven/Minervahaven;Westpoort;Westpoort
Isolatorbuurt;Sloterdijk-West;Bos en Lommer;Stadsdeel West
Contactbuurt;Sloterdijk-West;Bos en Lommer;Stadsdeel West
Hemknoop-Zuid;Spaarndammerbuurt/Zeeheldenbuurt;Westerpark;Stadsdeel West
Zaanstraat emplacement;Spaarndammerbuurt/Zeeheldenbuurt;Westerpark;Stadsdeel West
Spaarndammerbuurt-Noordwest;Spaarndammerbuurt/Zeeheldenbuurt;Westerpark;Stadsdeel West
Spaarndammerbuurt-Midden;Spaarndammerbuurt/Zeeheldenbuurt;Westerpark;Stadsdeel West
Spaarndammerbuurt-Zuidwest;Spaarndammerbuurt/Zeeheldenbuurt;Westerpark;Stadsdeel West
Spaarndammerbuurt-Noordoost;Spaarndammerbuurt/Zeeheldenbuurt;Westerpark;Stadsdeel West
Spaarndammerbuurt-Zuidoost;Spaarndammerbuurt/Zeeheldenbuurt;Westerpark;Stadsdeel West
Houthavens-West;Houthavens;Westerpark;Stadsdeel West
Houthavens-Oost;Houthavens;Westerpark;Stadsdeel West
Kolenkitbuurt-Noord;De Kolenkit;Bos en Lommer;Stadsdeel West
Kolenkitbuurt-Zuid;De Kolenkit;Bos en Lommer;Stadsdeel West
Robert Scottbuurt-West;De Kolenkit;Bos en Lommer;Stadsdeel West
Landlust-Noord;Landlust;Bos en Lommer;Stadsdeel West
Erasmusparkbuurt-Oost;Landlust;Bos en Lommer;Stadsdeel West
Landlust-Zuid;Landlust;Bos en Lommer;Stadsdeel West
Robert Scottbuurt-Oost;Erasmuspark;Bos en Lommer;Stadsdeel West
Erasmusparkbuurt-West;Erasmuspark;Bos en Lommer;Stadsdeel West
GWL-terrein;Centrale Markt;Westerpark;Stadsdeel West
Staatsliedenbuurt-Noordoost;Staatsliedenbuurt;Westerpark;Stadsdeel West
De Wittenbuurt-Noord;Staatsliedenbuurt;Westerpark;Stadsdeel West
De Wittenbuurt-Zuid;Staatsliedenbuurt;Westerpark;Stadsdeel West
Frederik Hendrikbuurt-Noord;Frederik Hendrikbuurt;Westerpark;Stadsdeel West
Frederik Hendrikbuurt-Zuidwest;Frederik Hendrikbuurt;Westerpark;Stadsdeel West
Frederik Hendrikbuurt-Zuidoost;Frederik Hendrikbuurt;Westerpark;Stadsdeel West
Orteliusbuurt-Noord;Van Galenbuurt;Oud West / De Baarsjes;Stadsdeel West
Orteliusbuurt-Midden;Hoofdweg e.o.;Oud West / De Baarsjes;Stadsdeel West
Orteliusbuurt-Zuid;Hoofdweg e.o.;Oud West / De Baarsjes;Stadsdeel West
Bellamybuurt-Noord;Bellamybuurt;Oud West / De Baarsjes;Stadsdeel West
Bellamybuurt-Zuid;Bellamybuurt;Oud West / De Baarsjes;Stadsdeel West
Da Costabuurt-Noord;Da Costabuurt;Oud West / De Baarsjes;Stadsdeel West
Da Costabuurt-Zuid;Van Lennepbuurt;Oud West / De Baarsjes;Stadsdeel West
Cremerbuurt-West;Overtoomse Sluis;Oud West / De Baarsjes;Stadsdeel West
Vondelparkbuurt-West;Overtoomse Sluis;Oud West / De Baarsjes;Stadsdeel West
Cremerbuurt-Oost;Helmersbuurt;Oud West / De Baarsjes;Stadsdeel West
Helmersbuurt-Oost;Helmersbuurt;Oud West / De Baarsjes;Stadsdeel West
Vondelparkbuurt-Midden;Vondelparkbuurt;Oud West / De Baarsjes;Stadsdeel West
Vondelparkbuurt-Oost;Vondelparkbuurt;Oud West / De Baarsjes;Stadsdeel West
Sloterdijk De Heining;Sloterdijk Nieuw-West;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Sloterdijk Poort-Noord;Sloterdijk Nieuw-West;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Sloterdijk Poort-Zuid;Sloterdijk Nieuw-West;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Sloterdijk Rhônepark;Sloterdijk Nieuw-West;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Sloterdijk Donauhoek;Sloterdijk Nieuw-West;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Bretten-West;Sloterdijk Nieuw-West;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Bretten-Oost;Sloterdijk Nieuw-West;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Sloterdijk Stationskwartier;Sloterdijk Nieuw-West;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Osdorper Binnenpolder;Geuzenveld;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
De Eendracht;Geuzenveld;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Ruys de Beerenbrouckbuurt;Geuzenveld;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Van Tijenbuurt;Geuzenveld;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Dudokbuurt;Geuzenveld;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Bakemabuurt;Geuzenveld;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Wegener Sleeswijkbuurt;Geuzenveld;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Jan de Louterbuurt;Slotermeer-West;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Lodewijk van Deysselbuurt;Slotermeer-West;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Confuciusbuurt;Slotermeer-West;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Arondeusbuurt;Slotermeer-Noordoost;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Coronelbuurt;Slotermeer-Noordoost;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Meerwaldtbuurt;Slotermeer-Noordoost;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Dobbebuurt;Slotermeer-Noordoost;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Dichtersbuurt;Slotermeer-Zuidoost;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Louis Couperusbuurt;Slotermeer-Zuidoost;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
Noordoever Sloterplas;Slotermeer-Zuidoost;Geuzenveld-Slotermeer-Sloterdijken;Stadsdeel Nieuw-West
De Aker-West;De Aker;De Aker, Sloten en Nieuw Sloten;Stadsdeel Nieuw-West
De Aker-Oost;De Aker;De Aker, Sloten en Nieuw Sloten;Stadsdeel Nieuw-West
Dijkgraafpleinbuurt;De Punt;Osdorp;Stadsdeel Nieuw-West
Reimerswaal;Osdorp-Midden;Osdorp;Stadsdeel Nieuw-West
Botteskerkbuurt;Osdorp-Midden;Osdorp;Stadsdeel Nieuw-West
Zuidwestkwadrant-Noord;Osdorp-Midden;Osdorp;Stadsdeel Nieuw-West
Zuidwestkwadrant-Zuid;Osdorp-Midden;Osdorp;Stadsdeel Nieuw-West
Osdorpplein e.o.;Osdorp-Oost;Osdorp;Stadsdeel Nieuw-West
Calandlaan/Lelylaan;Osdorp-Oost;Osdorp;Stadsdeel Nieuw-West
Osdorp-Zuidoost;Osdorp-Oost;Osdorp;Stadsdeel Nieuw-West
Lucas/Andreasziekenhuis e.o.;Overtoomse Veld;Slotervaart;Stadsdeel Nieuw-West
Overtoomse Veld-Noord;Overtoomse Veld;Slotervaart;Stadsdeel Nieuw-West
Rembrandtpark-Noord;Overtoomse Veld;Slotervaart;Stadsdeel Nieuw-West
Overtoomse Veld-Zuid;Overtoomse Veld;Slotervaart;Stadsdeel Nieuw-West
Rembrandtpark-Zuid;Overtoomse Veld;Slotervaart;Stadsdeel Nieuw-West
Louis Crispijnbuurt;Slotervaart-Zuid;Slotervaart;Stadsdeel Nieuw-West
